Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741069878,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.07%,"83.2MiB / 7.653GiB",1.06%,"2.58MB / 3.38MB","0B / 16.4kB",31
1741069878,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,110.35%,"90.92MiB / 500MiB",18.18%,"2.02MB / 1.2MB","0B / 201kB",56
1741069890,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,0.00%,"19.2MiB / 20MiB",95.98%,"47.5MB / 44.7MB","13.5MB / 45.6MB",13
1741069890,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.08%,"83.18MiB / 7.653GiB",1.06%,"2.58MB / 3.38MB","0B / 16.4kB",31
1741069890,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,109.25%,"120.2MiB / 500MiB",24.04%,"2.02MB / 1.2MB","0B / 201kB",56
1741069903,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,0.95%,"19.66MiB / 20MiB",98.28%,"47.6MB / 44.9MB","14.2MB / 45.8MB",13
1741069903,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.19%,"82.98MiB / 7.653GiB",1.06%,"2.61MB / 3.41MB","0B / 16.4kB",31
1741069903,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,105.44%,"114.1MiB / 500MiB",22.81%,"2.02MB / 1.21MB","0B / 201kB",56
1741069915,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,2.26%,"19.59MiB / 20MiB",97.93%,"48.3MB / 45.6MB","15.8MB / 48.3MB",13
1741069915,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.29%,"82.41MiB / 7.653GiB",1.05%,"2.66MB / 3.47MB","0B / 16.4kB",31
1741069915,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,104.65%,"106.2MiB / 500MiB",21.24%,"2.04MB / 1.25MB","0B / 201kB",51
1741069927,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,0.00%,"19.55MiB / 20MiB",97.73%,"51.8MB / 48.9MB","27.3MB / 64.7MB",13
1741069927,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.09%,"83.88MiB / 7.653GiB",1.07%,"3.36MB / 4.54MB","0B / 16.4kB",34
1741069927,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,110.75%,"136.1MiB / 500MiB",27.23%,"2.65MB / 1.51MB","0B / 201kB",56
1741069939,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,0.00%,"19.55MiB / 20MiB",97.73%,"51.9MB / 48.9MB","27.3MB / 64.8MB",13
1741069939,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.10%,"83.84MiB / 7.653GiB",1.07%,"3.36MB / 4.54MB","0B / 16.4kB",34
1741069939,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,118.62%,"140.8MiB / 500MiB",28.16%,"2.65MB / 1.51MB","0B / 201kB",56
1741069951,6f93c9fc0fb0,reverse_proxy_test-cache-1,6f93c9fc0fb0,0.00%,"19.55MiB / 20MiB",97.73%,"51.9MB / 48.9MB","27.3MB / 64.8MB",13
1741069951,f9f6444f8c30,reverse_proxy_test-lb-1,f9f6444f8c30,0.11%,"83.83MiB / 7.653GiB",1.07%,"3.36MB / 4.54MB","0B / 16.4kB",34
1741069951,cff2971eb79d,reverse_proxy_test-api-1,cff2971eb79d,110.91%,"139.6MiB / 500MiB",27.93%,"2.65MB / 1.51MB","0B / 201kB",56
